id,anchor_img,pos_img,neg_img
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0033.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0003.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0017.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0022.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0004.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0036.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0030.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0008.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0038.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0016.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0034.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0021.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0010.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0032.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0019.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0031.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0014.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0023.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0011.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0026.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0028.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0005.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0027.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0024.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0039.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0007.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
1,./lfw/Hans_Blix/Hans_Blix_0001.jpg,./lfw/Hans_Blix/Hans_Blix_0025.jpg,./lfw/Joe_Lieberman/Joe_Lieberman_0001.jpg
